level1	level2	level3	gene_family
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.17
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00009
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.18
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00010
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.19
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.20
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.21
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00011
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.22
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00012
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.23
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00013
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K14152
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.24
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K09484
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.25
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00014
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13830
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13832
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.26
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00015
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.27
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00016
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.28
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K03778
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.29
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00018
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K15893
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.30
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00019
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.31
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00020
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K23146
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.32
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.33
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.34
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00021
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.35
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00022
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K01782
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K01825
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K07514
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K07516
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K07547
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K07548
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K08683
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K10527
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K15016
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.36
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00023
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.37
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00024
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00025
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00026
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.38
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00027
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.39
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00028
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.40
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00029
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.41
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00030
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.42
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00031
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.43
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00032
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.44
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00033
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.45
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13247
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.46
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.47
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00034
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13937
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K22969
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.48
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00035
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K22215
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.49
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00036
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.50
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00037
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.51
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K04119
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K05296
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.52
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K22604
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.53
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00038
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.54
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.55
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.56
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00039
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.57
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00040
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.58
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00041
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.59
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K23146
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.60
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00042
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.61
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00043
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K08318
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K18120
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.62
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00044
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K10251
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13368
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13369
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13370
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13373
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K22970
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.64
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K10207
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.65
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K05275
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.66
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.67
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00045
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.69
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00046
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.71
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.72
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.73
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.75
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.76
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K03366
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K18009
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.77
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00048
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.78
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.79
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00049
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00090
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K12972
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K15919
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K18121
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.80
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K23259
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.81
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00049
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00090
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K12972
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K15919
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K22982
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.82
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00051
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.83
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K07246
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.84
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.85
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00052
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K21360
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.86
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00053
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.87
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K05824
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K10978
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.88
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00054
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.90
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00055
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.91
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K05882
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.92
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.93
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K07246
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.94
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00057
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.95
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00058
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.96
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.97
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.98
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.99
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.100
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00059
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K11610
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.101
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K06123
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.102
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K04708
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.103
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00060
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K15789
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.104
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.105
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13369
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K15734
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.106
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.107
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K18609
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.108
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K17735
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.110
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K23109
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.111
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.112
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.113
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.114
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.115
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.116
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00062
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.117
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00063
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.118
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.119
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.120
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K22215
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.121
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.122
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00064
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.123
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.124
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.125
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.126
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.127
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00065
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.129
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.130
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K08092
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.131
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.132
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00066
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.133
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00067
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K23987
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.134
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.135
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K22252
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.136
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K02474
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K13015
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K22926
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.137
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K21680
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.138
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.140
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00068
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.141
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	K00069
Oxidoreductases	Acting on the CH-OH group of donors	With NAD+ or NADP+ as acceptor	EC:1.1.1.142
